registerCode,signed,registerType,registerFlag,address,min,max,description,value,status
"REG_DEMC_RH_HIGHEST","I","Read Input Register (Function 04)","INPUT_REG","1001","0","100","Highest value of all RH sensors","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_CO2_HIGHEST","I","Read Input Register (Function 04)","INPUT_REG","1002","0","2000","Highest value of all CO2 sensors","45","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_RH_PI_SP","I","Read Input Register (Function 04)","INPUT_REG","1011","0","100","Set point for RH demand control","28","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_RH_PI_FEEDBACK","I","Read Input Register (Function 04)","INPUT_REG","1012","0","100","Sensor value for RH demand control","-32","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_RH_PI_OUTPUT","I","Read Input Register (Function 04)","INPUT_REG","1019",,,"Output value for RH demand control.(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_CO2_PI_SP","I","Read Input Register (Function 04)","INPUT_REG","1021","0","2000","Set point for CO2 demand control","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_CO2_PI_FEEDBACK","I","Read Input Register (Function 04)","INPUT_REG","1022","0","2000","Sensor value for CO2 demand control","-800","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_CO2_PI_OUTPUT","I","Read Input Register (Function 04)","INPUT_REG","1029",,,"Output value for CO2 demand control(1): Depends on regulation type. Value can be
%, RPM, Pressure or Flow","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DEMC_RH_SETTINGS_PBAND","I","Holding Register (Function 03/06/16)","HOLDING_REG","1031","1","100","Pband setting for RH demand control","0",
"REG_DEMC_RH_SETTINGS_SP_SUMMER","I","Holding Register (Function 03/06/16)","HOLDING_REG","1033","10","100","Set point setting for RH demand control during (temperature based) winter time","40",
